"#","ID","Priority","Section","Item","What we're trying to fix","How we're fixing it","Effort","Risk / Win","Notes","Status","Date Fixed","Commit","How to Test"
"1","Q1-step4","P0","QUANT-1 Sunday follow-up","Run 250-day backtest to validate steps 2 + 3","Need fast validation that config changes don't break things before committing 3 hours to full 750d.","python3 backtest.py --days 250 --hold 5 --min-score 65 --portfolio --equity 5000 --positions 4 --size-pct 0.25 > cache/logs/backtest_250d_quant1_$(date +%Y%m%d_%H%M%S).log 2>&1 &","~12 min wall-clock","Risk: none (offline). Verify: PF ≥ 1.0 to proceed.","Output: cache/portfolio_backtest_250d_*.json.","OPEN","","","(test instructions to be added when shipped)"
"2","Q1-step5","P0","QUANT-1 Sunday follow-up","Run 750-day backtest to confirm if 250d passes","Real evidence comes from full 750d window — same methodology that produced Saturday's headline n=384 result.","Same backtest command but --days 750. Run during Sunday daytime (3hr runtime).","~3 hours","Risk: none. Verify: PF, WR, drawdown all directionally improved vs Saturday's PF 0.70.","Start by mid-morning Sunday so it finishes before Monday's 1am scan.","OPEN","","","(test instructions to be added when shipped)"
"3","Q1-step6","P0","QUANT-1 Sunday follow-up","Consider buy_max_score: 90 in regime4_thresholds blocks","90+ score band is anti-predictive: n=19, PF 0.32 in post-kill subset.","Add buy_max_score: 90 to each of 4 regime blocks under regime4_thresholds. Re-run final backtest.","30 min + backtest","Risk: MEDIUM (small sample n=19). Win: removes -67% PF drag if real.","Skip if step 5 already shows PF healthy.","OPEN","","","(test instructions to be added when shipped)"
"4","CLEAN-1","P1","Code Cleanup (DEFERRED)","backtest_v2.py — keep or delete?","158-line file. docs/architecture.md:191 references as entrypoint but file is abandoned snapshot — likely never run.","ASK USER: 'Do you ever run backtest_v2.py?' If no → delete + update docs/architecture.md.","10 min after answer","Win: -158 lines + clearer docs.","Phase 2 agent flagged but held back without user judgment.","OPEN","","","(test instructions to be added when shipped)"
"5","CLEAN-3","P1","Code Cleanup (DEFERRED)","8 standalone analysis scripts — ask user which still in use","Manual research scripts: audit_360.py (1320 lines!), analyze_backtest.py, analyze_signals.py, false_negatives.py, feature_importance.py, score_distribution_check.py, sensitivity.py, stop_width_sensitivity.py.","ASK USER per file: 'Do you ever run X?' For each 'no' → archive to _legacy/ or delete. ~3-5K lines win.","30 min after answers","Win: ~3-5K lines if mostly stale.","audit_360.py is the biggest single file — start there.","OPEN","","","(test instructions to be added when shipped)"
"6","MOD-2","P1","UI / Modularization","Pixel-diff regression baseline","After modularization, no automated visual-regression catch.","Playwright page.screenshot() snapshots per (tab × profile). Bake reference images into tests/snapshots/. CI fails on pixel-diff > 0.1%.","2-3 hrs","Win: catches accidental layout regressions.","","OPEN","","","(test instructions to be added when shipped)"
"7","OPS-1","P1","Operational Hygiene","Snapshot cleanup (scripts/cleanup_after_2026_05_16.sh)","Pre-Saturday session migration created intermediate snapshot files safe to remove after a week.","Run scripts/cleanup_after_2026_05_16.sh after 2026-05-16 cutoff.","2 min","Win: cleaner repo.","Calendar reminder for 2026-05-16.","OPEN","","","(test instructions to be added when shipped)"
"8","PERF-6","P1","Performance","Critical CSS extraction (775-line <style> → above-fold + lazy)","775-line <style> in <head> blocks FCP; most rules govern below-fold content.","Identify above-fold CSS rules (header, sidebar, regime strip, top of each tab). Inline only those. Lazy-load rest via <link rel='stylesheet'> after init-end.","1 hr","Win: -100ms FCP.","","OPEN","","","(test instructions to be added when shipped)"
"9","PERF-7","P1","Performance","Split data.json (5.3MB) into critical + deferred","Dashboard cold load now bound by 5.3MB data.json fetch + parse — bulk of remaining 644ms init-end.","Decompose data.json: ship critical subset (regime, sector strip, top-5 picks per cell) inline or separate small JSON; defer the rest (full audit grid, all sector data, history) to lazy fetches per tab. Update build_data.py + dashboard.html.","4 hrs","Win: -300-800ms cold load (single largest remaining boot lever).","Biggest lever for next perf sprint.","OPEN","","","(test instructions to be added when shipped)"
"10","QUANT-3","P1","Quant","Score-band filters per regime (e.g., min 70 in choppy)","Single buy_min_score per regime; needs band-specific filtering (e.g., choppy may benefit from 70-90 only).","Extend regime4_thresholds with optional score_band [lo, hi] per regime. Update decision_engine to honor band. Backtest each band per regime on 750d window.","2-4 hrs","Sequence: AFTER Sunday QUANT-1 re-validation.","","OPEN","","","(test instructions to be added when shipped)"
"11","QUANT-4","P1","Quant","Walk-forward fold persistence (Supabase dual-write)","Walk-forward runs write to local cache only — hard to cross-compare or audit historical decisions.","Extend hedge_fund_enhancers / walk_forward_v2 to dual-write fold results to Supabase walk_forward_runs + walk_forward_folds (mirror existing backtest_runs/backtest_trades).","1 hr","Win: cross-run analytics + audit trail.","Low priority — local cache works for now.","OPEN","","","(test instructions to be added when shipped)"
"12","QUANT-5","P1","Quant","Mover predictor v3 — NLP earnings tone + options flow features","v1 had leakage. v2 fixed leakage but AUC stuck at 0.546 — pure technical features at entry don't predict mover success.","Build v3 with NEW feature classes (don't retrain): NLP earnings-call tone embeddings, options-flow IV skew + UOA put/call delta, catalyst-conditional models (subset by tag). A6 logger captures most inputs going forward.","days","Caveat: exploratory research, not config-tuning.","Don't retrain v1/v2 — both definitive AUC 0.546 negative.","OPEN","","","(test instructions to be added when shipped)"
"13","QUANT-6","P1","Quant","Regime-conditional entries (rules vary per regime)","Same 5-pillar gates apply across all 4 regimes — real regimes have different optimal entry rules.","Define per-regime entry rule sets (entry_quality minimum, ATR multiplier on stops, hold-period default). Wire into analysis.py gate logic. Backtest per-regime to measure differential.","4-6 hrs","Risk: MEDIUM (more knobs = more overfit risk).","","OPEN","","","(test instructions to be added when shipped)"
"14","CLEAN-4","P2","Code Cleanup (DEFERRED)","scripts/migrate_role_capabilities.py — cleanup after 2026-05-16","One-shot CapStudio backfill. Already run. Tied to OPS-1 cleanup window.","Delete during OPS-1 cleanup pass after 2026-05-16.","1 min","Win: -X lines.","Couples with OPS-1.","OPEN","","","(test instructions to be added when shipped)"
"15","MOD-1","P2","UI / Modularization","Scanner deep refactor","Scanner stays inline due to heavy let-bound state. Doesn't fit registry-driven module pattern cleanly.","Extract Scanner state into Zustand-style store (or simple module-scope object). Move render fn into infra/prototype/tabs/scanner/. Wire state via window event bus.","1-2 hrs","Risk: low (works fine inline). Win: consistency.","Defer until next major refactor.","OPEN","","","(test instructions to be added when shipped)"
"16","OPS-2","P2","Operational Hygiene","Uptime monitoring (launchd ping → dashboard)","Cloudflare healthcheck exists; no equivalent for FastAPI server itself or dashboard render.","launchd job pings http://localhost:7432/api/me every 5min (with auth). On 2 consecutive fails, Slack alert + log to data/uptime.jsonl. Status tile to dashboard system-status.","1-2 hrs","Win: detect FastAPI hang independent of tunnel.","","OPEN","","","(test instructions to be added when shipped)"
"17","OPS-3","P2","Operational Hygiene","Admin endpoint for capability_registry edits","capability_registry.json hand-edited; risk of typo breaking RBAC; no audit trail.","PATCH /api/capability-registry/<entry_id> behind admin role. Validate against schema. Log to audit_log.jsonl. Optionally expose via settings_capstudio.html.","2-3 hrs","Win: safer registry edits + audit trail.","","OPEN","","","(test instructions to be added when shipped)"
"18","OPS-4","P2","Operational Hygiene","CapStudio audit log UI","data/audit_log.jsonl captures PATCH /api/roles changes but no UI viewer.","Audit-log viewer in settings_capstudio.html: paginated table (timestamp, actor, action, target_role, before, after, ip). Filter by date / actor / role.","2 hrs","Win: visibility into RBAC changes.","","OPEN","","","(test instructions to be added when shipped)"
"19","GATE-1","P0","Quant / Validation","Validation backtest restart + 0-BUYs investigation","First validation backtest (PID 25081) died at 2024-01-04 with 0 BUYs in 8 months. Restart (PID 29239) currently running showing same pattern — QUANT-1 config (Trend Continuation killed) appears to starve the system of trades.","Restarted backtest at 22:48 PT (PID 29239). When done: if PF >= 1.0 → ship QUANT-1b (buy_max_score=80). If 0 BUYs persists → revert TC kill or apply soft demote (mult 0.5) instead of hard kill.","in flight","Risk: confirmation that TC kill removed all profitable signals along with the bad ones.","Concerning: 30+ min into backtest, still 0 BUYs across 5 months simulated. Likely needs per-band kill (TC at score 60-79 only) instead of full kill.","IN_PROGRESS","","","ps -p 29239 → if alive backtest still running. When done: ls cache/portfolio_backtest_750d_*.json | head -1 → check PF, total_return_pct."
"20","A5-followup","P1","Quant / Signal Filter","Add Wilson-backed pullback rule to signal_filter._validations (DRAFT)","A5 found pullback meta-pattern WR 53% / Wilson LB 44.6% / PF 1.83 over n=134 — but at meta-family granularity. Per-subtype attribution (EMA21 vs EMA50 vs Bounce-off-Support) needed before activating; composition risk too high.","Added _validations entry pullback_bull_701_pullback_or_fresh + draft whitelist rule. _enabled stays false until per-subtype split is verified.","shipped (DRAFT)","Risk: activating without subtype attribution may re-enable EMA21 Pullback (which has its own bad evidence WR 11.9% n=59).","Wilson LB clears 40% threshold. Don't enable until subtype investigation done.","IN_PROGRESS","","1e40d30fc","grep -A20 'pullback_bull_701' config/config.json → _validations entry present with n=134 wr_lb=0.446. _enabled stays false."
"21","A2","P0","Strategy / Filter Layer","signal_filter.py — declarative whitelist gate","BUY decisions ran on raw 5-pillar score regardless of whether the (setup × regime × score_band × entry_quality) combo had backtest evidence behind it.","New signal_filter.py — demotes BUY→WATCH for non-whitelisted combos. _validations gate enforces n>=20 AND wr_lb>=0.40 per rule. Wired at decision_engine.py:626 after BUY threshold passes. 5/5 unit tests pass.","shipped","Win: prevents BUY in unproven combos. OFF by default until A5 attribution complete.","Flip config['signal_filter']['_enabled']=true after per-subtype A5 attribution review.","DONE","2026-05-09","4129e5565","1) cat config/config.json | grep -A3 signal_filter → confirm _enabled=false. 2) Toggle to true via --config-override → run scan → BUY count drops. Toggle off → restored."
"22","A3","P0","Strategy / Filter Layer","Regime gate in compute_final_verdict","750d evidence: strategy is bull-only. risk_off_trending and panic regimes returned negative expectancy.","compute_final_verdict refuses new BUY in regime ∈ {risk_off_trending, panic}. Returns verdict=WATCH with audit gate 'regime_gate' failed. Sits BEFORE _eval_hard_gates so it's the first decision after circuit-breakers.","shipped","Win: bull-only strategy, period.","Existing positions unaffected (exits run via separate paths).","DONE","2026-05-09","1e40d30fc","Run scan during simulated risk_off regime (set regime via --config-override) → confirm zero BUY verdicts emitted. Audit gate 'regime_gate' marked failed."
"23","A6","P0","ML / Data Logging","Entry-time feature logger in swing_trade.py","ML mover-predictor v2 result (AUC 0.546) was a method failure not strategy failure — v1 had leakage, v2 was missing entry-time market features. Need to capture them going forward for catalyst-conditional ML.","Adds 30 entry-time fields to every signal_log entry, all prefixed `ef_`. Categories: Volume (rvol_5d/20d, atr_pct, atr_expansion, obv_slope, mfi, cmf), Price (dist_52w_high/20d_high, dist_ema8/21/50/200_pct), Momentum (rsi14, macd_hist, stoch_rsi), Squeeze, Catalyst (tier1_total_pts, has_pead, has_uoa_*), Options (iv_rank, put_call_ratio), Smart $$ (insider_score), News (sentiment, count_7d), Zacks/Earn.","shipped","Win: ~150-300 trades over 30 days → enough for catalyst-conditional ML retraining.","Pure additive — Wilson CI gates / hedge_fund_report / drift checker unaffected.","DONE","2026-05-09","0574c60d4","python3 swing_trade.py → check newly-written entries in data/signal_log.json have ef_volume_surge_5d, ef_atr_pct, ef_rsi14, ef_has_pead, etc. fields populated."
"24","B2","P0","Quant / Backtest infra","Enrich backtest trade records with regime/entry_quality/sector/MAE/MFE","750d backtest trade records had only ticker/dates/prices/pnl/setup_type/score/verdict/exit_reason — making per-strategy attribution impossible per A5 finding.","backtest.py:1668 captures regime/entry_quality/setup_family/catalyst_tier/conviction_tier/sector/industry/rs_rank/tier1_total_pts/has_pead/has_uoa_calls/insider_cluster_30d/iv_rank/earn_days at entry. Closed_trade record propagates all + computes mae_pct/mfe_pct from highest_price/lowest_price tracked over hold period.","shipped","Win: forensic decomposition possible on next 750d backtest.","Pure additive. Does not affect existing analysis.","DONE","2026-05-09","f35f0c124","Run a fresh backtest (after current finishes). Open cache/portfolio_backtest_*.json → trade records contain regime, entry_quality, sector, mae_pct, mfe_pct fields."
"25","K3","P0","Quant / Stop Engine","Stop must be at/below nearest fractal low","Calculated stops sometimes sit ABOVE the nearest Williams-fractal low — guaranteed easy stop-out target for market makers.","If stop > indicators['fractal_low'] (already computed in _williams_fractals at analysis.py:1089), widen DOWN to just below fractal low + 0.10×ATR buffer. Bounded: won't widen >20% from entry.","shipped","Win: single most important Vinod rule per coaching call.","Longs only. Sanity-bounded to prevent bad fractal detection from blowing out stops.","DONE","2026-05-09","3d4eb71d7","python3 swing_trade.py deep AAPL → check that stop value ≤ indicators.fractal_low (or within 0.10×ATR buffer below it). NEVER above fractal_low."
"26","K6","P0","Architecture","Single canonical trade plan object — every tab reads from one source","Different dashboard tabs (Plan, Overview, Technicals, Models) computed their own derived values from raw signal data — drift risk, inconsistent UI numbers.","New canonical_trade_plan.py — one dataclass: TradeZone / RiskMetrics / StatisticalContext / RegimeContext / CatalystContext / SetupAttribution / GateResults. swing_trade.py attaches it per signal. Live Wilson-CI lookup from signal_log per setup×regime. Mechanism hypothesis per setup family.","shipped","Win: tabs converge on one truth; future tabs bind to dataclass fields.","402 LOC. Future tabs MUST bind to canonical fields, not recompute.","DONE","2026-05-09","2c9b9f339","Open infra/prototype/elite-detail.html for any ticker → Plan, Thesis, SMC, Models, Overview tabs all show IDENTICAL entry/stop/T1/T2 values. No mismatches across tabs."
"27","Q1-Fix1","P0","Quant / Config","Trend Continuation killed (Fix 1)","750d backtest: Trend Continuation 264/384 trades (69%) at PF 0.65, Wilson LB 19.5% — single biggest portfolio drain.","config/config.json: setup_score_multiplier['Trend Continuation'] 0.7→0.0 + static_setup_kill_list dict entry (n=264, wr_lb=0.195, source=static).","shipped","Win: prevents biggest documented setup drag on Monday 1am scan.","Bug fix in 6ceca2d18: bare-string kill_list entries silently rejected — required dict format.","DONE","2026-05-09","fc76c9ec8 + 6ceca2d18","grep -A5 'static_setup_kill_list' config/config.json → 'Trend Continuation' present in dict format with n=264 wr_lb=0.195."
"28","Q1-Fix3","P0","Quant / Config","VCP Breakout multiplier 0.0 → 1.2 (Fix 3) — needs revert","Comment in config said VCP Breakout was 'removed from kill list' but value remained 0.0. Restored to 1.2 based on n=12 PF 1.79 aggregate.","config['setup_score_multiplier']['VCP Breakout']: 0.0 → 1.2.","shipped (revert candidate)","Risk: post-kill subset has only n=1 evidence — not real evidence. See Q1-step2.","REVERT CANDIDATE. Sunday plan step 2: revert to 0.0.","DONE","2026-05-09","fc76c9ec8","Same as Q1-step2 verification — VCP Breakout multiplier should NOW be 0.0 (reverted from Saturday's 1.2)."
"29","Q1-step1","P0","QUANT-1 Sunday follow-up","Re-derive Saturday's empirical analysis on n=384 750d backtest","Saturday's session changed live config based on agent-summarized stats. Agent's Fix 2 was actively wrong; Fix 3 had n=1 evidence in post-kill subset. Confirm Saturday's reads before any further changes.","Run inline Python script in SESSION_HANDOFF section 3 against cache/portfolio_backtest_750d_20260509_100501.json. Reproduce 'TC killed', 'TC + score≥80', score-band table 65-100, per-setup table at score≥80.","5 min","Risk: none. Verify: TC killed PF 0.86, 80-85 band PF 1.72, VCP n=1.","Gate for everything below — do not proceed if numbers diverge. · verified inline against cache/portfolio_backtest_750d_20260509_100501.json: TC@score>=80 PF 0.54, VCP@score>=80 n=1, Near-VCP@score>=80 PF 1.05, 90-100 band PF 0.55","DONE","2026-05-09","d8c08399b","python3 -c 'import json; d=json.load(open(""cache/portfolio_backtest_750d_20260509_100501.json"")); print(d[""profit_factor""])' → 0.70 confirmed."
"30","Q1-step2","P0","QUANT-1 Sunday follow-up","Revert Fix 3 — VCP Breakout multiplier 1.2 → 0.0","Saturday boosted VCP Breakout to 1.2× based on n=12 aggregate. Post-kill universe has only n=1 firing at score≥80, and it lost.","Edit config/config.json: setup_score_multiplier['VCP Breakout'] 1.2 → 0.0. Verify with git diff config/config.json.","2 min","Risk: LOW. Win: prevents Monday 1am scan from sizing into a setup with no real evidence.","Lesson: filter to 'what new config would have allowed' before extrapolating.","DONE","2026-05-09","d8c08399b","grep -A5 '""VCP Breakout""' config/config.json → setup_score_multiplier shows 0.0 (was 1.2). git diff confirms revert."
