filter,n_evaluable,passed,rejected,reject_rate_pct,win_rejected_pct,loss_rejected_pct,net_lift_pp,rejected_pf,verdict
kill_EMA21_52wk_TC,763,302,461,60.4,49.4,68.0,18.6,1.1,STRONG_HELP
kill_EMA21_52wk,763,567,196,25.7,15.5,32.7,17.2,0.63,STRONG_HELP
kill_static_setups,763,567,196,25.7,15.5,32.7,17.2,0.63,STRONG_HELP
rr_min_3.5,621,77,544,87.6,80.0,93.3,13.3,1.33,WEAK_HELP
stars_min_4,621,340,281,45.2,38.1,50.6,12.4,1.06,WEAK_HELP
rr_min_4.0,621,70,551,88.7,81.9,93.8,11.9,1.35,WEAK_HELP
score_floor_82,763,188,575,75.4,70.0,79.0,9.0,1.27,WEAK_HELP
score_floor_88,763,94,669,87.7,83.2,90.7,7.5,1.3,WEAK_HELP
score_band_80_95,763,218,545,71.4,67.1,74.4,7.3,1.33,WEAK_HELP
score_floor_80,763,231,532,69.7,66.1,72.2,6.1,1.33,WEAK_HELP
rs_min_90,763,495,268,35.1,31.6,37.5,5.9,1.6,WEAK_HELP
variant_F_TC_in_bull,763,678,85,11.1,7.7,13.5,5.7,0.55,WEAK_HELP
tail_loss_gate5,763,376,387,50.7,47.4,53.0,5.6,1.26,WEAK_HELP
tail_loss_strict,763,317,446,58.5,55.2,60.7,5.5,1.22,WEAK_HELP
rs_min_85,763,528,235,30.8,27.7,32.9,5.1,1.6,WEAK_HELP
rs_min_75,763,608,155,20.3,18.4,21.6,3.2,1.57,NEUTRAL
score_floor_72,763,494,269,35.3,33.9,36.2,2.3,1.24,NEUTRAL
rs_min_65,763,662,101,13.2,12.9,13.5,0.6,1.88,NEUTRAL
conv_T1_only,94,0,94,100.0,100.0,100.0,0.0,0.28,NEUTRAL
conv_T1_T2,94,0,94,100.0,100.0,100.0,0.0,0.28,NEUTRAL
earnings_7d_blackout,763,763,0,0.0,0.0,0.0,0.0,0,NEUTRAL
rr_min_3.0,621,591,30,4.8,4.9,4.8,-0.1,1.39,NEUTRAL
stars_min_3,621,549,72,11.6,13.2,10.4,-2.8,1.77,NEUTRAL
score_floor_65,763,670,93,12.2,15.5,9.9,-5.6,1.7,WEAK_HURT
score_band_70_89,763,454,309,40.5,44.5,37.7,-6.8,1.55,WEAK_HURT
regime_bull_neutral,763,132,631,82.7,86.8,79.9,-6.9,1.48,WEAK_HURT
regime_bull_only,763,105,658,86.2,90.3,83.4,-6.9,1.48,WEAK_HURT
entry_FRESH_only,94,7,87,92.6,100.0,91.9,-8.1,0.29,WEAK_HURT
entry_not_EXTENDED,94,28,66,70.2,100.0,67.4,-32.6,0.37,STRONG_HURT
weekly_bull_required,,,,,,,,,
